run_name,model_name,benchmark_name,benchmark_name_original,base_name,architecture,optimization,dataset_size,accuracy,runtime,experiment_type
ida_eval_results,ida_tydamin_ep35,coreutils_arm64_O1_5hops,coreutils_arm64_O1_ben_5hops,coreutils,arm64,O1,15578.0,84.48,9,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,5,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,coreutils_x64_O0_5hops,coreutils_x64_O0_ben_5hops,coreutils,x64,O0,10013.0,67.63,7,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,6,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,coreutils_x64_O1_5hops,coreutils_x64_O1_ben_5hops,coreutils,x64,O1,10527.0,58.69,9,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,11,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,coreutils_x64_O3_5hops,coreutils_x64_O3_ben_5hops,coreutils,x64,O3,15521.0,58.6,14,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,2,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,complex_5hops,complex_5hops,complex_5hops,,,4101.0,65.62,4,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,5,Only IDA Pro
ida_eval_results,ida_resym_train_ep35,resym_test_5hops,resym_test_5hops,resym_test_5hops,,,8503.0,74.95,7,Only IDA Pro
